2025-07-30 00:40:01.224 | INFO     | workflows.workflow:__init__:32 - Initializing CampaignWorkflow...
2025-07-30 00:40:01.233 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-30 00:40:01.825 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-30 00:40:01.826 | INFO     | workflows.graphs.campaign.nodes.persona_node:__init__:26 - UserPersonaNode initialized with persona generation chain.
2025-07-30 00:40:01.826 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-30 00:40:02.163 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-30 00:40:02.165 | INFO     | workflows.graphs.campaign.nodes.strategy_node:__init__:23 - StrategyNode initialized.
2025-07-30 00:40:02.165 | INFO     | workflows.graphs.campaign.nodes.check_external_logs_node:__init__:14 - CheckExternalLogsNode initialized.
2025-07-30 00:40:02.165 | INFO     | workflows.graphs.campaign.nodes.analytics_node:__init__:14 - AnalyticsNode initialized. Ready to process external user logs.
2025-07-30 00:40:02.165 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-30 00:40:02.493 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-30 00:40:02.494 | INFO     | workflows.graphs.campaign.nodes.segmenting_node:__init__:35 - UserSegmenter initialized with structured prompt.
2025-07-30 00:40:02.494 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-30 00:40:02.827 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-30 00:40:02.827 | INFO     | workflows.graphs.campaign.nodes.recommend_node:__init__:25 - RecommendNode initialized with inline prompt chain.
2025-07-30 00:40:02.827 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-30 00:40:03.155 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
